x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,label
4,0,9,3267,4121,48,51,19,1064,1064,0,0,40648,3203,12048,735,106,40,0
4,0,0,3662,4240,24,38,0,694,694,0,0,33142,3229,14978,0,0,0,0
16,13,62,5011,4307,842,387,98,305,305,0,0,20962,3197,12367,0,0,0,0
6,0,12,10642,4376,405,138,11,415,415,0,0,24610,3200,15780,3,1,1,0
9,2,29,4920,4765,362,202,22,522,522,0.6185,0,28233,3164,11824,22,16,4,0
355,111,100,5008,5419,415,1533,427,1076,1049,14.8944,-2.9758,40438,1347,7757,194,58,42,0
215,6,60,14025,17042,665,2082,69,1372,1369,1.3996,0,44719,3215,13768,1182,257,19,0
83,33,44,18596,20180,261,489,251,1209,1209,0,0,42870,3185,10416,534,201,60,0
74,12,221,56036,21769,6114,1709,176,408,410,4.173,-3.5748,24488,3177,10846,45,15,13,0
10,5,32,20445,23113,193,137,32,1020,1020,0,-0.9872,39848,3199,20265,54,20,11,0
69,2,39,70966,32171,347,807,31,426,426,0.9899,0,25317,3176,12375,777,193,51,0
89,1,121,49323,36790,2353,1419,17,1105,1105,0,0,41372,3239,11149,450,2,2,0
14,0,17,29316,37061,97,92,6,1530,1530,0,0,46839,3153,12036,1758,566,173,0
103,6,39,26223,37294,200,707,40,1548,1548,0.316,0,46942,2613,11179,1785,637,139,0
136,6,75,45155,43055,360,544,17,3022,3022,0,0,60389,3213,5738,542,64,21,0
24,1,21,34262,45116,59,46,2,3338,3338,0.9377,0,61807,3236,21466,321,114,8,0
1422,16,323,190663,179828,796,6101,51,10143,10143,0,0,84996,3204,3741,7715,20,4,0
18,0,1,1120,2232,34,76,13,1396,1396,0,0,45118,2542,10892,766,75,42,0
28,3,10,2414,2325,588,1013,57,404,404,0,0,24364,3080,9099,94,23,17,0
528,74,225,4511,3057,575,1342,270,1461,1459,6.0512,-1.8026,45859,1673,9616,371,138,88,0
10,0,2,2942,3348,7,33,0,1777,1777,0,0,49963,3230,8183,177,33,22,0
1,0,0,2717,3384,6,37,0,331,331,0,0,22016,3234,17718,8220,3054,3,0
1327,116,165,5599,3467,1513,10811,1833,1076,1079,7.5806,-6.5257,40966,4454,20904,526,188,105,0
121,17,46,2257,3627,154,391,43,6151,6148,1.8508,-0.3898,71726,5024,21870,6103,1438,615,0
9,0,6,3614,4237,16,30,0,2497,2497,0,0,56724,3246,13000,24,7,5,0
91,1,68,5316,4275,139,224,8,2244,2244,0,0,54072,3202,9054,17,6,6,0
0,0,0,4339,4628,273,235,6,5,5,0,0,5251,3203,9268,0,0,0,0
19,1,5,4913,7077,29,107,2,872,872,0,0,37231,3150,10305,490,165,81,0
9,0,2,6043,8026,8,37,1,930,930,0,0,38277,3224,7845,16,6,3,0
12,1,6,1444,2145,82,191,3,623,623,0.9921,0,31354,2961,9892,957,148,19,0
387,204,495,4592,2228,3934,2878,1855,701,740,15.6121,-24.2305,34237,2041,13091,95,45,20,0
1,0,3,1671,2406,12,4,0,891,891,0,0,37541,3200,3732,0,0,0,0
85,138,46,2541,2599,289,727,850,1268,1236,13.8868,-6.9178,43113,3255,14429,171,66,53,0
0,0,0,1926,2706,2,6,0,3632,3632,0,0,63430,3200,929,0,0,0,0
3,0,1,2392,2716,8,9,0,658,658,0,0,32329,3200,3201,0,0,0,0
90,6,94,2533,2798,454,347,20,3509,3509,2.2612,-0.0997,62900,5643,11491,3925,853,85,0
64,1,24,1375,3050,173,212,1,1786,1786,0,0,50074,3191,10793,1162,348,33,0
0,0,2,2467,3137,38,18,3,1244,1244,0,0,43170,3199,11470,13,5,4,0
3,0,11,2379,3248,18,4,0,2842,2842,0,0,59198,3197,1402,0,0,0,0
57,208,6,2932,3298,87,1241,3293,530,510,13.6417,-9.4525,27903,2664,11109,43,15,14,0
9,2,21,2712,3359,220,119,9,830,830,0,-0.8635,36251,3204,11255,1,1,1,0
62,0,3,2791,3446,9,144,0,5557,5557,0,0,70581,3192,7936,650,17,8,0
17,3,499,3694,4074,23183,504,55,1186,1186,0,0,42548,3205,12506,226,8,5,0
8,0,4,8164,4102,55,201,30,542,542,0,0,28994,2746,6834,903,71,17,0
71,12,201,3942,4300,607,186,56,1910,1907,4.2001,0,51238,3199,13638,27,2,2,0
34,1,10,4098,4300,83,814,6,2106,2106,0.1218,0,52754,3111,12749,1593,491,273,0
203,580,60,5615,4424,856,3254,5840,838,845,47.5192,-42.8761,36631,2453,11636,42,17,14,0
584,55,381,5045,4610,1421,2251,217,5074,5066,7.4956,-2.9023,68039,5015,22078,7294,2557,398,0
15,10,10,4276,4635,96,188,146,861,860,0.7273,-0.1258,36983,2041,12257,615,210,116,0
16,3,5,7038,4639,17,53,5,1785,1785,0,0,50053,3205,2990,994,89,19,0
327,2,90,3979,4836,1617,6175,70,379,379,0,0,23643,3062,11954,0,0,0,0
1,0,15,3722,4844,175,15,0,589,589,0,0,30305,2873,2850,0,0,0,0
2,0,15,3532,4850,38,25,0,2172,2172,0,0,53484,3156,6173,0,0,0,0
131,48,27,1557,4998,284,1465,869,900,900,0,0,37743,3714,13796,130,45,32,0
117,1,36,715,5002,74,238,15,1533,1533,0,0,46846,1804,12688,1289,457,184,0
141,2,25,4802,5005,55,302,4,5054,5054,0,0,67973,2860,9571,6045,2203,56,0
0,0,2,3698,5036,8,5,0,1299,1299,0,0,43860,3200,3905,0,0,0,0
